Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","214","Chine, Taiwan Province de","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","922"
"FBS","Bilans Alimentaires (2010-)","50","Chypre","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","27"
"FBS","Bilans Alimentaires (2010-)","50","Chypre","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","15"
"FBS","Bilans Alimentaires (2010-)","50","Chypre","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","35"
"FBS","Bilans Alimentaires (2010-)","44","Colombie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1693"
"FBS","Bilans Alimentaires (2010-)","44","Colombie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","115"
"FBS","Bilans Alimentaires (2010-)","44","Colombie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1808"
"FBS","Bilans Alimentaires (2010-)","45","Comores","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1"
"FBS","Bilans Alimentaires (2010-)","45","Comores","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","45","Comores","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5"
"FBS","Bilans Alimentaires (2010-)","46","Congo","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","46","Congo","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","107"
"FBS","Bilans Alimentaires (2010-)","46","Congo","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","113"
"FBS","Bilans Alimentaires (2010-)","48","Costa Rica","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","145"
"FBS","Bilans Alimentaires (2010-)","48","Costa Rica","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","15"
"FBS","Bilans Alimentaires (2010-)","48","Costa Rica","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","140"
"FBS","Bilans Alimentaires (2010-)","107","C?te d'Ivoire","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","53"
"FBS","Bilans Alimentaires (2010-)","107","C?te d'Ivoire","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1"
"FBS","Bilans Alimentaires (2010-)","107","C?te d'Ivoire","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","54"
"FBS","Bilans Alimentaires (2010-)","98","Croatie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","54"
"FBS","Bilans Alimentaires (2010-)","98","Croatie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","30"
"FBS","Bilans Alimentaires (2010-)","98","Croatie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","69"
"FBS","Bilans Alimentaires (2010-)","49","Cuba","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","25"
"FBS","Bilans Alimentaires (2010-)","49","Cuba","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","294"
"FBS","Bilans Alimentaires (2010-)","49","Cuba","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","318"
"FBS","Bilans Alimentaires (2010-)","54","Danemark","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","158"
"FBS","Bilans Alimentaires (2010-)","54","Danemark","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","142"
"FBS","Bilans Alimentaires (2010-)","54","Danemark","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","146"
"FBS","Bilans Alimentaires (2010-)","72","Djibouti","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","3"
"FBS","Bilans Alimentaires (2010-)","72","Djibouti","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","3"
"FBS","Bilans Alimentaires (2010-)","55","Dominique","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","55","Dominique","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","4"
"FBS","Bilans Alimentaires (2010-)","55","Dominique","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","4"
"FBS","Bilans Alimentaires (2010-)","59","?gypte","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1443"
"FBS","Bilans Alimentaires (2010-)","59","?gypte","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","36"
"FBS","Bilans Alimentaires (2010-)","59","?gypte","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1491"
"FBS","Bilans Alimentaires (2010-)","60","El Salvador","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","147"
"FBS","Bilans Alimentaires (2010-)","60","El Salvador","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","19"
"FBS","Bilans Alimentaires (2010-)","60","El Salvador","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","164"
