Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","60.58"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2744"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","73.54"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","616"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","32.99"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2775"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","62.92"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","128"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.91"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2464"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","74.37"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","546"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.61"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3320"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","98.21"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","596"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.47"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2570"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.18"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","356"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","27.09"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3246"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.81"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","875"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","54.86"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2854"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","82.24"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","690"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.42"
